Radius_mm,TwoTheta_deg,Intensity_Raw,Intensity_Normalized_Percent,Intensity_Background,Intensity_Subtracted
0.0,0.0,235.0,99.00770552691391,110.00000000000001,-10.992294473086105
0.03287742176489566,0.0094186874571596,235.375,99.16569654637175,110.00000000000001,-10.834303453628266
0.06575484352979132,0.018837374405274564,235.625,99.27102389267698,110.00000000000001,-10.728976107323035
0.09863226529468697,0.028256060335300426,235.4,99.17622928100226,110.00000000000001,-10.82377071899775
0.13150968705958263,0.03767474473819304,235.625,99.27102389267698,110.00000000000001,-10.728976107323035
0.1643871088244783,0.047093427104908755,235.425,99.1867620156328,110.00000000000001,-10.81323798436722
0.19726453058937393,0.056512106926404605,235.36111111111111,99.15984502713258,110.00000000000001,-10.840154972867438
0.2301419523542696,0.06593078369363842,235.375,99.16569654637175,110.00000000000001,-10.834303453628266
0.26301937411916526,0.07534945689756903,235.30357142857142,99.13560301885596,110.00000000000001,-10.864396981144054
0.2958967958840609,0.08476812602915643,235.875,99.37635123898221,110.00000000000001,-10.623648761017805
0.3287742176489566,0.09418679057936191,236.2941176470588,99.5529294371998,110.00000000000001,-10.44707056280022
0.36165163941385225,0.10360545003914828,236.375,99.58700593159266,110.00000000000001,-10.412994068407357
0.39452906117874786,0.11302410389947996,236.525,99.6502023393758,110.00000000000001,-10.349797660624219
0.42740648294364353,0.12244275165132328,236.3586956521739,99.58013675683361,110.00000000000001,-10.419863243166404
0.4602839047085392,0.13186139278564638,236.73863636363637,99.74020934440027,110.00000000000001,-10.259790655599744
0.49316132647343486,0.1412800267934197,236.92708333333334,99.81960382135004,110.00000000000001,-10.180396178649971
0.5260387482383305,0.15069865316561595,236.88541666666666,99.8020492636325,110.00000000000001,-10.197950736367517
0.5589161700032261,0.16011727139321022,236.93103448275863,99.82126847768532,110.00000000000001,-10.178731522314692
0.5917935917681219,0.16953588096718045,236.98333333333332,99.8433024742687,110.00000000000001,-10.156697525731317
0.6246710135330175,0.17895448137850722,236.95,99.82925882809468,110.00000000000001,-10.170741171905334
0.6575484352979132,0.18837307211817403,237.2258064516129,99.94545867466367,110.00000000000001,-10.054541325336345
0.6904258570628088,0.19779165267716772,237.28472222222223,99.9702804417589,110.00000000000001,-10.029719558241112
0.7233032788277045,0.20721022254647828,237.27205882352942,99.96494523304084,110.00000000000001,-10.035054766959178
0.7561807005926001,0.21662878121709916,237.31428571428572,99.98273581842516,110.00000000000001,-10.017264181574859
0.7890581223574957,0.22604732818002754,237.35526315789474,100.0,110.00000000000001,-10.000000000000014
0.8219355441223914,0.23546586292626434,237.14285714285714,99.91051135238729,110.00000000000001,-10.089488647612725
0.8548129658872871,0.24488438494681447,236.86363636363637,99.79287301755289,110.00000000000001,-10.207126982447122
0.8876903876521828,0.25430289373268683,236.7378048780488,99.73985903171855,110.00000000000001,-10.260140968281462
0.9205678094170784,0.26372138877489487,236.64880952380952,99.70236445373648,110.00000000000001,-10.297635546263535
0.9534452311819741,0.27313986956445624,236.50520833333334,99.64186392445997,110.00000000000001,-10.358136075540045
0.9863226529468697,0.28255833559239335,236.23936170212767,99.52986024370367,110.00000000000001,-10.470139756296348
1.0192000747117653,0.29197678634973334,235.94230769230768,99.40470860144899,110.00000000000001,-10.595291398551026
1.052077496476661,0.30139522132750846,236.135,99.48589167913964,110.00000000000001,-10.514108320860373
1.0849549182415568,0.3108136400167558,235.77403846153845,99.33381519528201,110.00000000000001,-10.666184804718
1.1178323400064523,0.32023204190851784,235.74122807017545,99.319991869468,110.00000000000001,-10.680008130532016
1.150709761771348,0.32965042649384274,235.50480769230768,99.22038574541484,110.00000000000001,-10.77961425458517
1.1835871835362437,0.33906879326378386,235.5,99.21836021952436,110.00000000000001,-10.781639780475658
1.2164646053011394,0.3484871417094008,235.18421052631578,99.08531515050723,110.00000000000001,-10.914684849492787
1.249342027066035,0.35790547132175854,234.5,98.79705083430346,110.00000000000001,-11.202949165696552
1.2822194488309306,0.36732378159192874,233.91129032258064,98.5490219220363,110.00000000000001,-11.450978077963711
1.3150968705958264,0.3767420720109889,233.52118644067798,98.3846674953796,110.00000000000001,-11.615332504620412
1.3479742923607219,0.3861603420700232,232.8933823529412,98.12016774113604,110.00000000000001,-11.87983225886397
1.3808517141256176,0.3955785912601224,232.32575757575756,97.88102209522465,110.00000000000001,-12.118977904775363
1.4137291358905133,0.40499681907238394,231.44444444444446,97.509716601684,110.00000000000001,-12.49028339831601
1.446606557655409,0.41441502499791216,230.68115942028984,97.18813745740911,110.00000000000001,-12.811862542590902
1.4794839794203045,0.42383320852781864,230.04779411764707,96.92129471113242,110.00000000000001,-13.078705288867596
1.5123614011852002,0.4332513691532221,229.16216216216216,96.54816965643508,110.00000000000001,-13.451830343564936
1.545238822950096,0.44266950636524877,228.486301369863,96.26342316153661,110.00000000000001,-13.736576838463407
1.5781162447149915,0.4520876196550324,227.8301282051282,95.98697124890373,110.00000000000001,-14.013028751096286
1.6109936664798872,0.4615057085137145,227.22697368421052,95.73285658850268,110.00000000000001,-14.26714341149733
1.643871088244783,0.47092377243244454,226.48214285714286,95.41905237065723,110.00000000000001,-14.580947629342788
1.6767485100096786,0.4803418109023802,226.12345679012347,95.26793456427399,110.00000000000001,-14.732065435726028
1.7096259317745741,0.48975982341468705,225.80448717948718,95.13354967371266,110.00000000000001,-14.86645032628735
1.7425033535394698,0.4991778094605394,225.25,94.89993902101004,110.00000000000001,-15.100060978989973
1.7753807753043656,0.5085957685311202,224.74074074074073,94.68538331557346,110.00000000000001,-15.314616684426554
