noise,strategy,rmse,est_mean,est_total,abs_err_amplitude,abs_err_frequency,abs_err_offset,est_amplitude,est_frequency,est_offset,est_tau,est_A,generator,abs_err_A,abs_err_tau,kind,abs_err_x,uncert,uncert_pos,uncert_sep,abs_err_x1,abs_err_x2,pair_rmse
GaussianNoise+DriftNoise+OutlierSpikes,T1Estimate,6.013886278701748,,,,,0.8204648923076063,,,-0.4363432337239871,12.719595225229938,1.2707507838744023,T1,0.6909239898545163,10.360981899424672,experiment,,,,,,,
PoissonNoise,FluorescenceCount,0.0,0.5986,119.72,,,,,,,,,T1,,,experiment,,,,,,,
PoissonNoise,RabiEstimate,0.24902506150663312,,,,,0.24902506150663312,0.45000000000000007,7.650100111234705,0.67,,,T1,,,experiment,,,,,,,
PoissonNoise,T1Estimate,2.046397384028008,,,,,0.20097493849336692,,,0.22,6.308868441273589,0.5218471648827399,T1,0.12656440226737525,3.536497884383124,experiment,,,,,,,
NoNoise,Grid21,,,,,,,,,,,,OnePeak-gaussian,,,locator,0.0028727610341501147,0.05000000000000001,0.05000000000000001,NaN,,,
NoNoise,Golden20,,,,,,,,,,,,OnePeak-gaussian,,,locator,0.1215319902296309,0.1457737973711325,0.1457737973711325,NaN,,,
NoNoise,TwoGreedy,,,,,,,,,,,,OnePeak-gaussian,,,locator,0.01651758730335845,0.024999999999999994,0.024999999999999994,0.024999999999999994,,,
Gauss(0.05),Grid21,,,,,,,,,,,,OnePeak-gaussian,,,locator,0.0030697885554048787,0.05,0.05,NaN,,,
Gauss(0.05),Golden20,,,,,,,,,,,,OnePeak-gaussian,,,locator,0.05735178592630352,0.1,0.1,NaN,,,
Gauss(0.05),TwoGreedy,,,,,,,,,,,,OnePeak-gaussian,,,locator,0.6200354932812886,0.05000000000000002,0.05000000000000002,0.05000000000000002,,,
Heavy,Grid21,,,,,,,,,,,,OnePeak-gaussian,,,locator,0.01626316300561076,0.04999999999999999,0.04999999999999999,NaN,,,
Heavy,Golden20,,,,,,,,,,,,OnePeak-gaussian,,,locator,0.03890963681869175,0.1,0.1,NaN,,,
Heavy,TwoGreedy,,,,,,,,,,,,OnePeak-gaussian,,,locator,0.7264851422247771,0.07500000000000001,0.07500000000000001,0.07500000000000001,,,
Poisson(50),Grid21,,,,,,,,,,,,OnePeak-gaussian,,,locator,0.025259666366338918,0.024999999999999994,0.024999999999999994,NaN,,,
Poisson(50),Golden20,,,,,,,,,,,,OnePeak-gaussian,,,locator,0.13215225339591952,0.1,0.1,NaN,,,
Poisson(50),TwoGreedy,,,,,,,,,,,,OnePeak-gaussian,,,locator,0.8596242742112865,0.025,0.025,0.025,,,
NoNoise,Grid21,,,,,,,,,,,,OnePeak-rabi,,,locator,0.21919037773425115,0.024999999999999994,0.024999999999999994,NaN,,,
NoNoise,Golden20,,,,,,,,,,,,OnePeak-rabi,,,locator,0.02802575496273635,0.1457737973711325,0.1457737973711325,NaN,,,
NoNoise,TwoGreedy,,,,,,,,,,,,OnePeak-rabi,,,locator,0.07445103914933726,0.024999999999999994,0.024999999999999994,0.024999999999999994,,,
Gauss(0.05),Grid21,,,,,,,,,,,,OnePeak-rabi,,,locator,0.24635269278044464,0.04999999999999999,0.04999999999999999,NaN,,,
Gauss(0.05),Golden20,,,,,,,,,,,,OnePeak-rabi,,,locator,0.11705714469473677,0.15,0.15,NaN,,,
Gauss(0.05),TwoGreedy,,,,,,,,,,,,OnePeak-rabi,,,locator,0.6855266018858525,0.05000000000000001,0.05000000000000001,0.05000000000000001,,,
Heavy,Grid21,,,,,,,,,,,,OnePeak-rabi,,,locator,0.6405921048650693,0.025,0.025,NaN,,,
Heavy,Golden20,,,,,,,,,,,,OnePeak-rabi,,,locator,0.6228037537166513,0.16298006013006622,0.16298006013006622,NaN,,,
Heavy,TwoGreedy,,,,,,,,,,,,OnePeak-rabi,,,locator,0.8633031721849375,0.12500000000000003,0.12500000000000003,0.12500000000000003,,,
Poisson(50),Grid21,,,,,,,,,,,,OnePeak-rabi,,,locator,0.6544274071507593,0.025,0.025,NaN,,,
Poisson(50),Golden20,,,,,,,,,,,,OnePeak-rabi,,,locator,0.2633613422566954,0.1,0.1,NaN,,,
Poisson(50),TwoGreedy,,,,,,,,,,,,OnePeak-rabi,,,locator,0.8391295964263358,0.025,0.025,0.025,,,
NoNoise,Grid21,,,,,,,,,,,,OnePeak-t1_decay,,,locator,0.24765739489567912,0.024999999999999994,0.024999999999999994,NaN,,,
NoNoise,Golden20,,,,,,,,,,,,OnePeak-t1_decay,,,locator,0.0990084975441956,0.1,0.1,NaN,,,
NoNoise,TwoGreedy,,,,,,,,,,,,OnePeak-t1_decay,,,locator,0.05024638305676232,0.024999999999999994,0.024999999999999994,0.024999999999999994,,,
Gauss(0.05),Grid21,,,,,,,,,,,,OnePeak-t1_decay,,,locator,0.005843609123760141,0.05,0.05,NaN,,,
Gauss(0.05),Golden20,,,,,,,,,,,,OnePeak-t1_decay,,,locator,0.6222881301508036,0.17275343701356569,0.17275343701356569,NaN,,,
Gauss(0.05),TwoGreedy,,,,,,,,,,,,OnePeak-t1_decay,,,locator,0.544223951483185,0.2,0.2,0.2,,,
Heavy,Grid21,,,,,,,,,,,,OnePeak-t1_decay,,,locator,0.007440211620984849,0.05,0.05,NaN,,,
Heavy,Golden20,,,,,,,,,,,,OnePeak-t1_decay,,,locator,0.19968644027543425,0.1457737973711325,0.1457737973711325,NaN,,,
Heavy,TwoGreedy,,,,,,,,,,,,OnePeak-t1_decay,,,locator,0.5558576859208197,0.125,0.125,0.125,,,
Poisson(50),Grid21,,,,,,,,,,,,OnePeak-t1_decay,,,locator,0.08131884668046169,0.024999999999999994,0.024999999999999994,NaN,,,
Poisson(50),Golden20,,,,,,,,,,,,OnePeak-t1_decay,,,locator,0.0629870527173384,0.1457737973711325,0.1457737973711325,NaN,,,
Poisson(50),TwoGreedy,,,,,,,,,,,,OnePeak-t1_decay,,,locator,0.05579495690873043,0.025000000000000022,0.025000000000000022,0.025000000000000022,,,
NoNoise,Grid21,,,,,,,,,,,,TwoPeak,,,locator,,0.024999999999999994,0.024999999999999994,NaN,inf,inf,inf
NoNoise,Golden20,,,,,,,,,,,,TwoPeak,,,locator,,0.1,0.1,NaN,inf,inf,inf
NoNoise,TwoGreedy,,,,,,,,,,,,TwoPeak,,,locator,,0.024999999999999994,0.024999999999999994,0.024999999999999994,0.0430937435818724,0.436183318923056,0.30992979724659625
Gauss(0.05),Grid21,,,,,,,,,,,,TwoPeak,,,locator,,0.024999999999999994,0.024999999999999994,NaN,inf,inf,inf
Gauss(0.05),Golden20,,,,,,,,,,,,TwoPeak,,,locator,,0.15,0.15,NaN,inf,inf,inf
Gauss(0.05),TwoGreedy,,,,,,,,,,,,TwoPeak,,,locator,,0.025000000000000022,0.025000000000000022,0.025000000000000022,0.016650589780643543,0.17827968301103841,0.12661138873450448
Heavy,Grid21,,,,,,,,,,,,TwoPeak,,,locator,,0.05000000000000001,0.05000000000000001,NaN,inf,inf,inf
Heavy,Golden20,,,,,,,,,,,,TwoPeak,,,locator,,0.1334634781503914,0.1334634781503914,NaN,inf,inf,inf
Heavy,TwoGreedy,,,,,,,,,,,,TwoPeak,,,locator,,0.024999999999999994,0.024999999999999994,0.024999999999999994,0.4000014320210549,0.49110177809468425,0.44787392314503816
Poisson(50),Grid21,,,,,,,,,,,,TwoPeak,,,locator,,0.024999999999999994,0.024999999999999994,NaN,inf,inf,inf
Poisson(50),Golden20,,,,,,,,,,,,TwoPeak,,,locator,,0.1,0.1,NaN,inf,inf,inf
Poisson(50),TwoGreedy,,,,,,,,,,,,TwoPeak,,,locator,,0.225,0.225,0.225,0.5602131901293019,0.480318673600803,0.521797300972554
